comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
NEIL2KO_3h_ipsilateral_vs_contralateral,Sik1,17691,ENSMUSG00000024042,salt inducible kinase 1,1.6701561281781672,9.617738378332824,16.80245292239253,4.030101055876831e-7,4.4516681168555583e-4,7.212301565966828,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Angptl4,57875,ENSMUSG00000002289,angiopoietin-like 4,1.7984070124997888,9.179988170872674,16.69439252302363,4.2207961125556074e-7,4.4516681168555583e-4,7.172020503451441,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Csrnp1,215418,ENSMUSG00000032515,cysteine-serine-rich nuclear protein 1,2.199379419868265,9.058037790413046,16.63845209584436,4.3235183381838175e-7,4.4516681168555583e-4,7.151024443781176,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Egr2,13654,ENSMUSG00000037868,early growth response 2,2.6570829134737757,7.829179248827796,16.53397743996098,4.5230416189027514e-7,4.4516681168555583e-4,7.111547426670479,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Dnajb1,81489,ENSMUSG00000005483,DnaJ heat shock protein family (Hsp40) member B1,1.7196545102276346,10.975019665136774,16.348967126927626,4.902515344612855e-7,4.4516681168555583e-4,7.040782468515325,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Btg1,12226,ENSMUSG00000036478,BTG anti-proliferation factor 1,1.3033548372441146,10.458507752680013,16.269259694480944,5.077024881799839e-7,4.4516681168555583e-4,7.009952939082514,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Klf6,23849,ENSMUSG00000000078,Kruppel-like transcription factor 6,2.1918988156230093,11.09166493614049,16.15260408557092,5.34526521722222e-7,4.4516681168555583e-4,6.9644558160337615,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Maff,17133,ENSMUSG00000042622,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",4.073305824774199,7.930909352872712,16.10525098304988,5.458703871408374e-7,4.4516681168555583e-4,6.945858665189106,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Plek,56193,ENSMUSG00000020120,pleckstrin,2.8788049895782564,8.8152822503832855,16.09013253041064,5.495494056757733e-7,4.4516681168555583e-4,6.9399053665989525,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Gm20594,NA,NA,NA,1.3132374336920147,10.02466622310493,16.04948398379849,5.595811774274102e-7,4.4516681168555583e-4,6.923860895951436,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Dusp16,70686,ENSMUSG00000030203,dual specificity phosphatase 16,1.9151446547791728,8.749678032899315,15.84493361439826,6.133196519256054e-7,4.632762200738308e-4,6.842273183393693,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Id1,15901,ENSMUSG00000042745,"inhibitor of DNA binding 1, HLH protein",1.513356912787314,9.638379170623825,15.806909519878424,6.239410371364724e-7,4.632762200738308e-4,6.826948911261302,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Hspa1a,193740,ENSMUSG00000091971,heat shock protein 1A,4.775110767103019,11.113924644830359,22.57521102383716,6.471574136429715e-7,4.6501391577087706e-4,6.567249290324614,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Shank2,210274,ENSMUSG00000037541,SH3 and multiple ankyrin repeat domains 2,-1.086990961195454,11.779973782340491,-15.585947767388511,6.899454352720785e-7,4.693994256661945e-4,6.736901489135817,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Pcdh1,75599,ENSMUSG00000051375,protocadherin 1,-1.064358492196133,12.270215118821692,-15.568747675516033,6.954065565425104e-7,4.693994256661945e-4,6.729819934866394,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Creb5,231991,ENSMUSG00000053007,cAMP responsive element binding protein 5,2.630700592728778,7.646225182769118,15.456945327703327,7.32121426029025e-7,4.788243589125878e-4,6.683531901694937,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Sipa1l3,74206,ENSMUSG00000030583,signal-induced proliferation-associated 1 like 3,-1.143285831771033,11.032614688910579,-15.397994070343632,7.523615067088921e-7,4.788243589125878e-4,6.6589442900591385,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Thsd4,207596,ENSMUSG00000032289,"thrombospondin, type I, domain containing 4",-1.5278291418982715,10.19719105771704,-15.277394944212539,7.957735635850381e-7,4.862724024743942e-4,6.60825103933606,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Hspa1b,15511,ENSMUSG00000090877,heat shock protein 1B,4.831747447748063,11.420399165588467,22.574500390385982,8.077252027633036e-7,4.862724024743942e-4,6.368025829358781,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Smad7,17131,ENSMUSG00000025880,SMAD family member 7,1.624609329324823,8.69466264592842,15.041596823551792,8.891077035397024e-7,5.211808972722861e-4,6.507583325837978,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Dlgap3,242667,ENSMUSG00000042388,DLG associated protein 3,-1.2678095573935284,12.457485667755446,-14.949291084043482,9.289738347356122e-7,5.305869786855323e-4,6.4676070510663815,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ier3,15937,ENSMUSG00000003541,immediate early response 3,3.0138889474710213,7.411619825973798,14.885584867309282,9.576688200593539e-7,5.333018241705527e-4,6.439827283669406,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Sowaha,237761,ENSMUSG00000044352,sosondowah ankyrin repeat domain family member A,-1.2243368425829448,11.304328935637662,-14.498469342143142,1.1552137168954963e-6,6.276191596060287e-4,6.267621497452301,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Map1a,17754,ENSMUSG00000027254,microtubule-associated protein 1 A,-1.0579857727732591,13.67354508096383,-14.180836217703815,1.352173020196235e-6,7.171346196397889e-4,6.121828193278353,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Shank3,58234,ENSMUSG00000022623,SH3 and multiple ankyrin repeat domains 3,-1.220217540211987,12.371399905399816,-14.094059193109828,1.4124096689720494e-6,7.316610552640093e-4,6.081270112067368,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Kcna1,16485,ENSMUSG00000047976,"potassium voltage-gated channel, shaker-related subfamily, member 1",-1.3187542409844752,9.535482331977027,-13.931458715539218,1.533641804777576e-6,7.764061636686479e-4,6.0044133883089215,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Lingo1,235402,ENSMUSG00000049556,leucine rich repeat and Ig domain containing 1,-1.0564898207045967,12.901643392643692,-13.737985540634085,1.6935169407065208e-6,8.382908856497278e-4,5.911476111462206,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ttbk1,106763,ENSMUSG00000015599,tau tubulin kinase 1,-0.9723012733050904,11.627971300286486,-13.67549902640077,1.749119979414369e-6,8.456743849132435e-4,5.881108514111268,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ccl3,20302,ENSMUSG00000000982,C-C motif chemokine ligand 3,7.656555865959781,4.651733725900204,13.568987702720136,1.8487275671155344e-6,8.456743849132435e-4,5.828944009542778,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Csf1,12977,ENSMUSG00000014599,colony stimulating factor 1 (macrophage),2.303561714848147,9.551785396361034,13.55507338587863,1.8622078672532791e-6,8.456743849132435e-4,5.822091741446358,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Tbc1d16,207592,ENSMUSG00000039976,"TBC1 domain family, member 16",-0.952155234810748,12.061343854801953,-13.5253235954522,1.8914044966081036e-6,8.456743849132435e-4,5.807411735317104,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Cracdl,72097,ENSMUSG00000026090,capping protein inhibiting regulator of actin like,-1.2677458641157653,11.870809622506835,-13.518414520403889,1.8982590009275947e-6,8.456743849132435e-4,5.803996719342355,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Prrc2b,227723,ENSMUSG00000039262,proline-rich coiled-coil 2B,-0.8671662074486566,13.389158457155705,-13.424865578378926,1.9938910214995585e-6,8.487638659506125e-4,5.757543254103372,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Il1a,16175,ENSMUSG00000027399,interleukin 1 alpha,4.392577431305195,5.2236069179061415,13.389522159379213,2.0314311337490777e-6,8.487638659506125e-4,5.73988844030833,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Sptbn2,20743,ENSMUSG00000067889,"spectrin beta, non-erythrocytic 2",-1.3326687027908815,14.134100004671005,-13.36638404281845,2.0564403776968732e-6,8.487638659506125e-4,5.728299239754665,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Lrrc4b,272381,ENSMUSG00000047085,leucine rich repeat containing 4B,-0.9502096849262145,11.811241369591619,-13.365310309032111,2.057609372001485e-6,8.487638659506125e-4,5.727760837167106,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Jun,16476,ENSMUSG00000052684,jun proto-oncogene,2.4244973058706467,12.33087078836168,14.89413378872176,2.334345375968488e-6,9.17157131723487e-4,5.6368765264239675,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Wfs1,22393,ENSMUSG00000039474,wolframin ER transmembrane glycoprotein,-1.2157637086577466,10.946231525868205,-13.119812660444161,2.3457513486549146e-6,9.17157131723487e-4,5.603245521689405,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Hsp90aa1,15519,ENSMUSG00000021270,"heat shock protein 90, alpha (cytosolic), class A member 1",0.7679024862383077,14.823914114510835,13.118876587188923,2.3469340744439398e-6,9.17157131723487e-4,5.602765299083123,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Nfil3,18030,ENSMUSG00000056749,"nuclear factor, interleukin 3, regulated",1.635245804391575,9.091104465433043,13.026405168775964,2.467166721259716e-6,9.341194745376608e-4,5.555118746547479,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Pitpnm2,19679,ENSMUSG00000029406,"phosphatidylinositol transfer protein, membrane-associated 2",-0.8979835663321385,11.594480782005263,-13.021146321846059,2.4742109538820194e-6,9.341194745376608e-4,5.552396717764455,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Swap70,20947,ENSMUSG00000031015,SWA-70 protein,1.5012993472027762,8.351034788985483,12.944644908126065,2.5793008275820185e-6,9.34266230104299e-4,5.512647189260629,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Hsph1,15505,ENSMUSG00000029657,heat shock 105kDa/110kDa protein 1,1.0701182488536372,12.801802998877697,12.927435655490964,2.6036311212211985e-6,9.34266230104299e-4,5.503666125140977,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Sema6b,20359,ENSMUSG00000001227,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B",-0.9372376212831899,11.268825993201716,-12.925959950772075,2.6057295157055983e-6,9.34266230104299e-4,5.502895318774047,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ppp1r15a,17872,ENSMUSG00000040435,"protein phosphatase 1, regulatory subunit 15A",1.5381592810915876,10.24041759031776,12.900407509082145,2.6423691356485226e-6,9.34266230104299e-4,5.489531566294493,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Hivep2,15273,ENSMUSG00000015501,human immunodeficiency virus type I enhancer binding protein 2,-0.94756917193377,12.564994493315261,-12.78494412040769,2.8153649602709986e-6,9.644340733268543e-4,5.428743667674477,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Stum,381310,ENSMUSG00000053963,mechanosensory transduction mediator,-1.0672012629405536,13.181429976784095,-12.763018271386573,2.8496437673410373e-6,9.644340733268543e-4,5.417125613240619,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ptprj,19271,ENSMUSG00000025314,protein tyrosine phosphatase receptor type J,-1.067125410902067,10.829845184024668,-12.757982967030271,2.8575824394869757e-6,9.644340733268543e-4,5.4144541189375195,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Bcl11b,58208,ENSMUSG00000048251,B cell leukemia/lymphoma 11B,-1.1483672631844488,11.185869988754892,-12.726339025032871,2.908048626509728e-6,9.668176590373759e-4,5.39763627875677,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ntrk3,18213,ENSMUSG00000059146,"neurotrophic tyrosine kinase, receptor, type 3",-1.0058154273186322,11.770602185367443,-12.666111459370493,3.0069104574924536e-6,9.849842711859471e-4,5.365487944125506,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Nfkbiz,80859,ENSMUSG00000035356,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",2.6368414578856587,8.455911933301945,12.569940961955355,3.172754440282629e-6,0.0010056122499008352,5.313772669159767,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Snph,241727,ENSMUSG00000027457,syntaphilin,-1.1009181731852813,12.316771091903746,-12.544401699972964,3.2185178296771897e-6,0.0010056122499008352,5.299959617174612,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Rgs16,19734,ENSMUSG00000026475,regulator of G-protein signaling 16,2.390770991798078,8.174461490785635,12.515596372322609,3.2710317069130203e-6,0.0010056122499008352,5.284339833956294,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Nptxr,73340,ENSMUSG00000022421,neuronal pentraxin receptor,-0.8353026828547794,14.403004509026436,-12.49293730525157,3.313021852758591e-6,0.0010056122499008352,5.272022787293053,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Agap2,216439,ENSMUSG00000025422,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",-1.069313468180571,14.317658111071037,-12.490189714067654,3.3181547979004973e-6,0.0010056122499008352,5.2705274421963155,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ppp1r9b,217124,ENSMUSG00000038976,"protein phosphatase 1, regulatory subunit 9B",-0.9933756207400268,13.602915921721362,-12.465317639424203,3.365031227605706e-6,0.0010056122499008352,5.25697329090618,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Tob1,22057,ENSMUSG00000037573,transducer of ErbB-2.1,1.404090600665402,9.692729484083799,12.454370735155875,3.3858998313159437e-6,0.0010056122499008352,5.250997542838433,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Tubb5,22154,ENSMUSG00000001525,"tubulin, beta 5 class I",-0.7641144052595106,14.404283244237035,-12.429780705649332,3.4333126856371877e-6,0.0010059221138552107,5.237551468156108,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Klf9,16601,ENSMUSG00000033863,Kruppel-like transcription factor 9,-1.0016683782367775,12.123022030381831,-12.393005189716133,3.505628287633473e-6,0.0010059221138552107,5.217383301123454,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Shank1,243961,ENSMUSG00000038738,SH3 and multiple ankyrin repeat domains 1,-0.8818006679186556,12.977535867066901,-12.38458812399425,3.5224208700653842e-06,0.0010059221138552107,5.212757307511008,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Lcp1,18826,ENSMUSG00000021998,lymphocyte cytosolic protein 1,1.4446181389214088,8.460941145609223,12.346496072575855,3.5995628981612676e-6,0.0010067516259961824,5.191775444941606,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Dusp10,63953,ENSMUSG00000039384,dual specificity phosphatase 10,2.1898424511511907,7.20711888206092,12.338635449998616,3.6157185220962776e-6,0.0010067516259961824,5.1874361355727485,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Cd93,17064,ENSMUSG00000027435,CD93 antigen,1.0342566203062287,10.183202633508932,12.308178535776182,3.6790942506802015e-6,0.0010117509189370554,5.170592100625579,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Btbd9,224671,ENSMUSG00000062202,BTB domain containing 9,-0.9853439998151732,10.767989785709828,-12.21639714469723,3.877801950146009e-6,0.0010388910579313994,5.119534444952282,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Adcy1,432530,ENSMUSG00000020431,adenylate cyclase 1,-1.0805473928787297,13.504185098665307,-12.195562989609284,3.924580399028773e-6,0.0010388910579313994,5.1078816702031835,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Plekho2,102595,ENSMUSG00000050721,"pleckstrin homology domain containing, family O member 2",1.8518161692383783,8.209339602656208,12.181112440698142,3.957400562202419e-6,0.0010388910579313994,5.099785590598329,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Hspe1,15528,ENSMUSG00000073676,heat shock protein 1 (chaperonin 10),0.9895382746580417,10.301224657955034,12.162924903078611,3.999150073156338e-6,0.0010388910579313994,5.089579803003525,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,A930011G23Rik,319818,ENSMUSG00000089809,RIKEN cDNA A930011G23 gene,1.3271018538046633,9.63844674324434,12.157809381135795,4.010982311205403e-6,0.0010388910579313994,5.086706047531007,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Grik5,14809,ENSMUSG00000003378,"glutamate receptor, ionotropic, kainate 5 (gamma 2)",-0.8626123101877781,12.439713221405658,-12.065788989490771,4.230732512253204e-6,0.001060936344857239,5.034768734214979,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Arc,11838,ENSMUSG00000022602,activity regulated cytoskeletal-associated protein,2.1749085320286614,10.638532577931008,12.839897857530861,4.263821527087063e-6,0.001060936344857239,5.059947468310255,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Adgrl1,330814,ENSMUSG00000013033,adhesion G protein-coupled receptor L1,-0.9165037137890266,13.134417466683647,-12.052303875381197,4.264065082494488e-6,0.001060936344857239,5.0271187406686275,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Aatk,11302,ENSMUSG00000025375,apoptosis-associated tyrosine kinase,-0.8827014865666669,12.043185727363692,-12.025262241397117,4.3318050766824595e-6,0.001060936344857239,5.011748144395361,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Map3k10,269881,ENSMUSG00000040390,mitogen-activated protein kinase kinase kinase 10,-0.9399968676076362,11.988558216177896,-11.9877354698306,4.427835223535258e-6,0.001060936344857239,4.9903509581170935,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Arhgef17,207212,ENSMUSG00000032875,Rho guanine nucleotide exchange factor 17,-0.9625419043888908,11.544755504024156,-11.97456424021335,4.46210877664643e-6,0.001060936344857239,4.982822456426169,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Tanc2,77097,ENSMUSG00000053580,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",-0.9016970014656227,11.744251248564867,-11.947157436883492,4.534390910492137e-6,0.001060936344857239,4.967126219405837,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Insig1,231070,ENSMUSG00000045294,insulin induced gene 1,1.5986587916854713,11.758082142791388,11.946377755425866,4.536466499188729e-6,0.001060936344857239,4.966679074444012,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Mafk,17135,ENSMUSG00000018143,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)",1.3922114510114127,8.86592345344417,11.9238795447744,4.5968240011531155e-6,0.001060936344857239,4.953761821816577,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ptges,64292,ENSMUSG00000050737,prostaglandin E synthase,2.0369783275929407,7.502007515667819,11.918631086635063,4.611034631239305e-6,0.001060936344857239,4.950744377637114,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Dgkh,380921,ENSMUSG00000034731,"diacylglycerol kinase, eta",-0.9228052112701679,10.568630856561276,-11.898529347907228,4.6659228483679684e-6,0.001060936344857239,4.939173231688078,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ctla2a,13024,ENSMUSG00000044258,cytotoxic T lymphocyte-associated protein 2 alpha,1.7896753477033993,8.241484154247765,11.89790347305982,4.66764362720581e-6,0.001060936344857239,4.938812596658978,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Dagla,269060,ENSMUSG00000035735,"diacylglycerol lipase, alpha",-1.1066688287027215,11.354343479182026,-11.819102773830863,4.8901407428424215e-6,0.0010953728968753048,4.893230844052726,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Sh3rf1,59009,ENSMUSG00000031642,SH3 domain containing ring finger 1,-1.0353796734546492,10.886251692808173,-11.797871401038499,4.952121194806187e-6,0.0010953728968753048,4.880889685791916,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Iqsec2,245666,ENSMUSG00000041115,IQ motif and Sec7 domain 2,-0.98522134834503206,11.642630928332753,-11.792929876333996,4.96667396562989e-6,0.0010953728968753048,4.878013654416525,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Kcng2,240444,ENSMUSG00000059852,"potassium voltage-gated channel, subfamily G, member 2",-1.337615319920463,8.797184827681374,-11.751229682831864,5.0914240705814554e-6,0.0011106608429440718,4.853688214769664,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Arrdc3,105171,ENSMUSG00000074794,arrestin domain containing 3,1.8444322848384118,10.632076940870357,11.87373777013691,5.1532164769819036e-6,0.0011106608429440718,4.849592531829818,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Neurl1a,18011,ENSMUSG00000006435,neuralized E3 ubiquitin protein ligase 1A,-0.8547813588928346,11.402004282238677,-11.698257789614255,5.255031550782514e-6,0.0011106608429440718,4.82264406943377,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Arl4d,80981,ENSMUSG00000034936,ADP-ribosylation factor-like 4D,1.6466757221014703,9.19308038452905,11.687428855451259,5.28920409829032e-6,0.0011106608429440718,4.816277920307157,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Kcnab2,16498,ENSMUSG00000028931,"potassium voltage-gated channel, shaker-related subfamily, beta member 2",-1.0488489113654094,12.268644155646976,-11.678407463255363,5.317864436110573e-6,0.0011106608429440718,4.810969230384756,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Gm5511,433221,ENSMUSG00000100615,"heat shock protein 90, alpha (cytosolic), class A member 1 pseudogene",0.8109135637069169,11.491427111027088,11.654072134729939,5.396055207820068e-6,0.0011106608429440718,4.796625509508515,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Fem1a,14154,ENSMUSG00000043683,fem 1 homolog a,-0.8685445254697957,11.026708239360199,-11.64430806087023,5.427792239107478e-6,0.0011106608429440718,4.7908607321701195,Down,TRUE
